Name,Price,Model Year,Mileage,Engine Type,Transmission,Registered City,Color,Assembly,Body Type,Capacity
Hyundai Tucson AWD A/T Ultimate 2022,7050000.0,2022,15100,Petrol,Automatic,Islamabad,Silver,Local,SUV,2000 cc
Toyota Yaris GLI CVT 1.3 2022,3790000.0,2022,500,Petrol,Automatic,Islamabad,Silver,Local,Sedan,1300 cc
Toyota Vitz F 1.0 2018,3200000.0,2018,75000,Petrol,Automatic,Sindh,Assembly,Imported,Hatchback,1000 cc
Toyota Corolla GLi Automatic 1.3 VVTi 2018,3400000.0,2018,41700,Petrol,Automatic,Karachi,White,Local,Sedan,1300 cc
Suzuki Cultus VXR 2006,750000.0,2006,93000,Petrol,Manual,Lahore,White,Local,Hatchback,1000 cc
Toyota Corolla Altis Automatic 1.6 2020,4250000.0,2020,12000,Petrol,Automatic,Karachi,Grey,Local,Sedan,1600 cc
Mercedes Benz S Class S350 2007,Call for price,2007,102000,Petrol,Automatic,Lahore,Black,Imported,Sedan,3500 cc
Suzuki Wagon R VXL 2016,1780000.0,2016,85000,Petrol,Manual,Lahore,Silver,Local,Hatchback,1000 cc
Toyota Fortuner Legender  2022,16200000.000000002,2022,11000,Diesel,Automatic,Islamabad,Black,Local,SUV,2800 cc
Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2022,5680000.0,2022,8000,Petrol,Automatic,Un-Registered,White,Local,Sedan,1800 cc
Honda Civic Oriel 1.8 i-VTEC CVT 2020,490000.00000000006,2020,60000,Petrol,Automatic,Islamabad,White,Imported,Sedan,1800 cc
Suzuki Bolan VX Euro II 2015,940000.0,2015,60557,Petrol,Manual,Lahore,Green,Local,Van,800 cc
Suzuki Ciaz Automatic 2018,2950000.0,2018,59563,Petrol,Automatic,Lahore,White,Imported,Sedan,1400 cc
Suzuki Alto VXR 2002,969999.9999999999,2002,100000,Petrol,Automatic,Quetta,Silver,Imported,Hatchback,1000 cc
Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2022,5595000.0,2022,8000,Petrol,Automatic,Un-Registered,White,Local,Sedan,1800 cc
Daihatsu Esse D 2010,1375000.0,2010,79059,Petrol,Automatic,Lahore,Blue,Imported,Hatchback,660 cc
Honda Civic Oriel 1.8 i-VTEC CVT 2021,5265000.0,2021,13000,Petrol,Automatic,Karachi,White,Local,Sedan,1800 cc
Suzuki Alto VXR 2019,1850000.0,2019,43000,Petrol,Manual,Lahore,White,Local,Hatchback,660 cc
Toyota Corolla Altis Automatic 1.6 2016,2900000.0,2016,117000,Petrol,Automatic,Punjab,Black,Local,Sedan,1600 cc
Changan Karvaan Plus 2022,2450000.0,2022,270,Petrol,Manual,Pasrur,White,Local,Mini Van,1000 cc
Honda Vezel X 2014,3800000.0,2014,76954,Petrol,Automatic,Karachi,Black,Imported,Crossover,1500 cc
Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2021,5600000.0,2021,16000,Petrol,Automatic,Islamabad,White,Local,Sedan,1800 cc
Suzuki Alto VXL AGS 2020,2180000.0,2020,39000,Petrol,Automatic,Lahore,White,Local,Hatchback,660 cc
Honda Civic Oriel 2022,Call for price,2022,4000,Petrol,Automatic,Islamabad,White,Local,Sedan,1500 cc
Honda Civic Turbo 1.5 VTEC CVT 2019,5200000.0,2019,105000,Petrol,Automatic,Islamabad,White,Local,Sedan,1500 cc
Hyundai Sonata 2.5 2021,8400000.0,2021,6000,Petrol,Automatic,Sindh,Black,Local,Sedan,2500 cc
Suzuki Cultus VXR 2006,1000000.0,2006,51000,Petrol,Manual,Punjab,Gold,Local,Hatchback,1000 cc
Toyota Vitz F M Package 1.0 2017,4000000.0,2017,80000,Petrol,Automatic,Islamabad,Silver,Imported,Hatchback,1000 cc
Mitsubishi EK Custom G 2015,1675000.0,2015,129000,Petrol,Automatic,Islamabad,Maroon,Imported,Hatchback,660 cc
Suzuki Alto L 2021,2875000.0,2021,7200,Petrol,Automatic,Un-Registered,Black,Imported,Hatchback,660 cc
Toyota Corolla Altis Grande CVT-i 1.8 2019,4400000.0,2019,35000,Petrol,Automatic,Sindh,White,Local,Sedan,1800 cc
Toyota Corolla Axio Hybrid 1.5 2015,4300000.0,2015,91000,Petrol,Automatic,Islamabad,White,Imported,Sedan,1500 cc
Toyota Yaris GLI MT 1.3 2020,2985000.0,2020,18000,Petrol,Manual,Un-Registered,White,Local,Sedan,1300 cc
Toyota Corolla Altis Grande CVT-i 1.8 2018,4200000.0,2018,60000,Petrol,Automatic,Sindh,White,Local,Sedan,1800 cc
Honda BR-V i-VTEC 2017,3250000.0,2017,36000,Petrol,Automatic,Islamabad,Silver,Local,MPV,1500 cc
Suzuki Cultus VXR 2007,800000.0,2007,33000,Petrol,Manual,Lahore,Grey,Local,Hatchback,1000 cc
Suzuki Alto VXR 2022,2075000.0,2022,11500,Petrol,Manual,Karachi,White,Local,Hatchback,660 cc
Suzuki Alto G 2007,135000.0,2007,131000,Petrol,Automatic,Islamabad,White,Imported,Hatchback,660 cc
Honda Civic Oriel 1.8 i-VTEC CVT 2018,3750000.0,2018,93000,Petrol,Automatic,Islamabad,White,Local,Sedan,1800 cc
Honda Civic EXi 1999,980000.0000000001,1999,150000,Petrol,Manual,Sindh,Gold,Local,Sedan,1500 cc
Suzuki Cultus VXR 2003,635000.0,2003,100000,Petrol,Manual,Lahore,Silver,Local,Hatchback,1000 cc
Toyota Corolla SE Saloon Automatic 2005,1750000.0,2005,197000,Petrol,Automatic,Islamabad,Grey,Local,Sedan,1600 cc
Toyota Passo 2013,Call for price,2013,96000,Petrol,Automatic,Islamabad,Beige,Imported,,1000 cc
Daihatsu Mira X SA 2019,3185000.0,2019,24000,Petrol,Automatic,Islamabad,White,Imported,Hatchback,660 cc
Toyota Vitz F 1.0 2011,2250000.0,2011,107000,Petrol,Automatic,Lahore,White,Imported,Hatchback,1000 cc
Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2014,2785000.0,2014,98233,Petrol,Automatic,Lahore,White,Local,Sedan,1800 cc
Suzuki Wagon R FX 2015,2100000.0,2015,98000,Petrol,Automatic,Islamabad,White,Imported,Hatchback,660 cc
Honda City 1.3 i-VTEC 2020,2990000.0,2020,54500,Petrol,Manual,Punjab,Silver,Local,Sedan,1300 cc
Toyota Corolla GLi Automatic Limited Edition 1.6 VVTi 2014,2560000.0,2014,170000,Petrol,Automatic,Sindh,Burgundy,Local,Sedan,1600 cc
KIA Sportage FWD 2020,5790000.0,2020,74300,Petrol,Automatic,Islamabad,Silver,Local,SUV,2000 cc
FAW V2 VCT-i 2019,1700000.0,2019,44000,Petrol,Manual,Lahore,Silver,Local,Hatchback,1300 cc
Suzuki Alto VXL AGS 2021,2375000.0,2021,3700,Petrol,Automatic,Punjab,White,Local,Hatchback,660 cc
Suzuki Cultus VXLi 2017,2350000.0,2017,67000,Petrol,Manual,Islamabad,White,Local,Hatchback,1000 cc
Suzuki Bolan GL 2007,650000.0,2007,100000,Petrol,Manual,Sindh,White,Local,Micro Van,800 cc
Honda Civic VTi Oriel Automatic 1.6 2000,1300000.0,2000,15000,Petrol,Automatic,Sindh,Assembly,Local,Sedan,1600 cc
Toyota Vitz F 1.0 2012,2125000.0,2012,95000,Petrol,Automatic,Karachi,Turquoise,Imported,Hatchback,1000 cc
Suzuki Mehran VXR 2000,550000.0,2000,144000,Petrol,Manual,Lahore,Green,Local,Hatchback,800 cc
Suzuki Cervo G Limited 2007,1350000.0,2007,103727,Petrol,Automatic,Sindh,Silver,Imported,Hatchback,660 cc
Toyota Vitz 2018,3500000.0,2018,34000,Petrol,Automatic,Karachi,Silver,Imported,,1000 cc
Toyota Pixis Epoch B  2019,3000000.0,2019,46570,Petrol,Automatic,Karachi,Silver,Imported,Hatchback,660 cc
Proton Saga 2022,3100000.0,2022,12000,Petrol,Automatic,Adda jahan khan,Red,Local,,1200 cc
Toyota Corolla XL 1990,580000.0,1990,20000,,Manual,Peshawar,Grey,Local,Sedan,1300 cc
Prince Pearl MT 2022,1500000.0,2022,3000,Petrol,Manual,Un-Registered,White,Local,Hatchback,800 cc
Suzuki Swift DLX 1.3 2011,1500000.0,2011,129000,Petrol,Manual,Islamabad,White,Local,Hatchback,1300 cc
Honda Civic Oriel 1.8 i-VTEC CVT 2018,3950000.0,2018,75000,Petrol,Automatic,Lahore,White,Local,Sedan,1800 cc
Suzuki Cultus EURO II 2013,1150000.0,2013,11000,Petrol,Manual,Sindh,White,Local,Hatchback,1000 cc
Toyota Corolla XLi VVTi Limited Edition 2012,2000000.0,2012,131000,Petrol,Manual,Lahore,White,Local,Sedan,1300 cc
Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2021,5400000.0,2021,18000,Petrol,Automatic,Punjab,White,Imported,Sedan,1800 cc
Toyota Vitz F 1.0 2007,1650000.0,2007,129655,Petrol,Automatic,Punjab,Silver,Imported,Hatchback,1000 cc
Toyota Fortuner 2.7 VVTi 2018,9100000.0,2018,80000,Petrol,Automatic,Islamabad,White,Local,SUV,2700 cc
Honda Civic 1.5 VTEC Turbo Oriel 2022,6800000.0,2022,15000,Petrol,Automatic,Islamabad,Black,Local,Sedan,1500 cc
Toyota Corolla Altis Automatic 1.6 2021,4675000.0,2021,4670,Petrol,Automatic,Un-Registered,White,Local,Sedan,1600 cc
Nissan Note 1.2E 2018,3790000.0,2018,56400,Petrol,Automatic,Islamabad,White,Imported,Hatchback,1198 cc
Honda City 1.3 i-VTEC 2017,2725000.0,2017,130309,Petrol,Manual,Lahore,Assembly,Local,Sedan,1300 cc
KIA Sportage AWD 2020,6025000.0,2020,30000,Petrol,Automatic,Punjab,White,Local,SUV,2000 cc
MG HS 1.5 Turbo 2022,5690000.0,2022,16000,Petrol,Automatic,Karachi,White,Imported,SUV,1500 cc
Toyota Surf SSR-G 2.7 2003,6400000.0,2003,115000,Petrol,Automatic,Islamabad,Navy,Local,SUV,2700 cc
KIA Grand Carnival GLS+ 2021,12400000.0,2021,11500,Petrol,Automatic,Sindh,Black,Imported,MPV,3500 cc
Suzuki Wagon R VXL 2019,2115000.0,2019,122600,Petrol,Manual,Lahore,Silver,Local,Hatchback,1000 cc
Toyota Aqua S 2014,3400000.0,2014,120000,Hybrid,Automatic,Islamabad,Silver,Imported,Hatchback,1500 cc
Toyota Corolla GLi 1.3 VVTi 2009,1950000.0,2009,98000,Petrol,Manual,Adda jahan khan,Gold,Local,Sedan,1300 cc
Toyota Corolla XLi 2008,1540000.0,2008,34000,Petrol,Manual,Islamabad,Black,Local,Sedan,1300 cc
Suzuki Swift GL CVT 2022,3600000.0,2022,305,Petrol,Automatic,Karachi,White,Local,Hatchback,1200 cc
Honda City 1.3 i-VTEC 2016,2500000.0,2016,77648,Petrol,Manual,Islamabad,Black,Local,Sedan,1300 cc
Honda Civic 1.5 VTEC Turbo Oriel 2016,4050000.0,2016,90000,Petrol,Automatic,Lahore,Black,Local,Sedan,1500 cc
Suzuki Cultus VXR 1999,509999.99999999994,1999,109000,Petrol,Manual,Karachi,Silver,Imported,Hatchback,1000 cc
Suzuki Cultus VXRi (CNG) 2008,730000.0,2008,54000,Petrol,Manual,Adda jahan khan,Blue,Local,Hatchback,1000 cc
Toyota Prius S LED Edition 1.8 2011,3195000.0,2011,125000,Petrol,Automatic,Lahore,Black,Imported,Sedan,1800 cc
Suzuki Liana LXi Sport 2011,1400000.0,2011,88000,Petrol,Manual,Sindh,Silver,Local,Sedan,1300 cc
Suzuki Cultus EURO II 2015,1475000.0,2015,101700,Petrol,Manual,Lahore,White,Local,Hatchback,1000 cc
Honda Civic Oriel Prosmatec UG 2013,3100000.0,2013,41000,Petrol,Automatic,Karachi,Grey,Local,Sedan,1800 cc
Suzuki Alto VXL AGS 2020,2100000.0,2020,60000,Petrol,Automatic,Abbottabad,Silver,Local,Hatchback,660 cc
Suzuki Mehran VX Euro II 2015,900000.0,2015,52500,Petrol,Manual,Lahore,Grey,Local,Hatchback,796 cc
Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2021,5375000.0,2021,15300,Petrol,Automatic,Sindh,Black,Local,Sedan,1800 cc
Daihatsu Cuore CX Eco 2003,645000.0,2003,123567,Petrol,Manual,Lahore,Silver,Imported,Hatchback,800 cc
Suzuki Alto VXL AGS 2022,2525000.0,2022,50,Petrol,Automatic,Un-Registered,White,Local,Hatchback,660 cc
Honda Civic EX 1995,800000.0,1995,1000,Petrol,Manual,Karachi,Black,Local,Sedan,1500 cc
Suzuki Mehran VXR (CNG) 2009,630000.0,2009,58000,Petrol,Manual,Islamabad,Silver,Local,Hatchback,800 cc
BMW X5 Series xDrive45e 2022,49000000.0,2022,6000,Hybrid,Automatic,Islamabad,Grey,Imported,SUV,3000 cc
